image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000136.jpg,1,0,1,0,0,0,0,246,0.010804885998368263,0.4909261944747035,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000137.jpg,1,1,0,0,0,0,0,266,0.010934818536043167,0.49026692613773903,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000138.jpg,1,0,1,0,0,0,0,243,0.01150436419993639,0.4913320492162915,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000139.jpg,1,1,0,0,0,0,0,316,0.011623133905231953,0.4921294272724522,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000140.jpg,1,0,0,0,0,0,0,240,0.010605809278786182,0.484577805389131,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000141.jpg,1,0,0,0,0,0,0,295,0.009959002025425434,0.47383404063786005,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000142.jpg,1,0,0,0,0,0,0,247,0.013719418086111546,0.44818943846828857,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000143.jpg,1,1,3,0,1,0,0,266,0.012425466440618038,0.43086693597191966,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000144.jpg,1,1,2,0,0,0,0,309,0.010718663223087788,0.4356602933611716,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000145.jpg,1,0,0,0,0,0,0,243,0.011663899756968021,0.44327544972464294,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000146.jpg,1,0,2,0,1,0,0,362,0.01047668606042862,0.4349764376815541,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000147.jpg,1,3,3,0,0,0,0,333,0.014710400253534317,0.4326484148057371,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000148.jpg,0,3,1,0,0,0,0,332,0.014192469418048859,0.443892383805374,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000149.jpg,0,2,0,0,0,0,0,279,0.014145449735224247,0.4517310502904866,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000150.jpg,1,0,0,0,0,0,0,245,0.01802869327366352,0.45822146952916964,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000151.jpg,1,1,0,0,0,0,0,240,0.013913784176111221,0.46326387754175746,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000152.jpg,0,3,1,0,0,0,0,279,0.012691772542893887,0.46698834271362866,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000153.jpg,1,2,0,0,0,0,0,228,0.013945613987743855,0.4718160024812394,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000154.jpg,1,3,0,0,0,0,0,256,0.01451615896075964,0.4734671008835633,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000155.jpg,0,4,1,0,0,0,0,318,0.013753620907664299,0.4730410463568143,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000156.jpg,1,5,2,0,1,0,0,313,0.012941990047693253,0.47139367548717015,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000157.jpg,0,2,2,0,1,0,1,233,0.011867496185004711,0.47155880839990316,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000158.jpg,0,3,1,0,0,0,0,267,0.014143723994493484,0.4714191025175502,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000159.jpg,0,2,2,0,0,0,0,270,0.012185203842818737,0.47154864515250544,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000160.jpg,0,0,4,0,1,0,0,291,0.00955620501190424,0.47110838023481,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000161.jpg,0,2,1,0,0,0,0,355,0.011087964288890362,0.4738160005900508,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000162.jpg,0,5,1,0,0,0,0,349,0.01525984425097704,0.47107986678467684,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000163.jpg,1,5,5,0,3,0,0,435,0.014579287730157375,0.46754859409041394,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000164.jpg,2,1,5,1,4,0,2,530,0.01278990600258112,0.4661822046719923,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000165.jpg,0,3,2,0,0,0,0,495,0.014388472773134708,0.4661214994099492,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000166.jpg,1,6,1,0,0,0,0,486,0.015790313482284546,0.4663724733720649,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000167.jpg,0,7,4,0,0,0,0,434,0.014670408330857754,0.468705954218107,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000168.jpg,1,7,1,0,0,0,0,399,0.016768235713243484,0.4702000064300412,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000169.jpg,0,7,2,0,0,0,0,461,0.015377629548311234,0.47342110339506177,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000170.jpg,0,3,4,0,0,0,0,460,0.013066142797470093,0.4782182942235536,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000171.jpg,0,6,3,0,0,0,0,503,0.01455605123192072,0.4819760329671992,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000172.jpg,3,2,1,0,0,0,0,466,0.015133903361856937,0.4856163232268216,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000173.jpg,0,5,3,0,0,0,0,472,0.01059458963572979,0.48184895076857903,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000174.jpg,1,3,6,0,3,0,0,469,0.011154252104461193,0.4831424499969741,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000175.jpg,1,3,0,0,0,0,0,521,0.012614431791007519,0.4857683710058097,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000176.jpg,0,5,3,0,0,0,0,481,0.013468301855027676,0.48194571154078913,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000177.jpg,0,9,1,0,0,0,0,585,0.016835307702422142,0.48539701154381504,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000178.jpg,2,8,3,0,0,0,0,531,0.017262639477849007,0.48783333522452194,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000179.jpg,1,6,4,0,0,0,0,590,0.017091114073991776,0.49119671576192203,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000180.jpg,0,12,1,0,0,0,0,645,0.01985342614352703,0.4879158402172597,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000181.jpg,3,6,0,0,0,0,0,654,0.01817738078534603,0.48972746837932707,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000182.jpg,2,8,3,0,3,0,2,742,0.016689205542206764,0.4913694153201404,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000183.jpg,2,4,3,1,2,0,0,707,0.014681355096399784,0.4919274218560881,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000184.jpg,2,7,1,0,0,0,0,716,0.01586289517581463,0.4925828302771726,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000185.jpg,0,10,8,0,0,0,0,883,0.016636952757835388,0.48638118607782616,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000186.jpg,0,19,1,0,1,0,0,819,0.0196649469435215,0.4863087327523602,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000187.jpg,0,18,3,0,0,0,0,876,0.01991235837340355,0.4876121645031469,lowlight,none,0.0
