image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000136.jpg,0,1,2,0,0,0,0,285,0.00854677613824606,0.4909261944747035,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000137.jpg,0,1,1,0,0,0,0,312,0.01138715073466301,0.49026692613773903,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000138.jpg,1,4,1,0,0,0,0,359,0.012162033468484879,0.4913320492162915,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000139.jpg,1,3,0,0,0,0,0,385,0.010981298051774502,0.4921294272724522,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000140.jpg,0,4,1,0,0,0,0,442,0.010179158300161362,0.484577805389131,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000141.jpg,1,3,0,0,0,0,0,288,0.014462081715464592,0.47383404063786005,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000142.jpg,1,0,0,0,0,0,0,359,0.007111694663763046,0.44818943846828857,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000143.jpg,1,1,3,0,1,0,0,284,0.010573270730674267,0.43086693597191966,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000144.jpg,0,0,3,0,0,0,0,294,0.008489135652780533,0.4356602933611716,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000145.jpg,0,0,1,0,0,0,0,328,0.007183666806668043,0.44327544972464294,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000146.jpg,0,1,3,0,1,0,0,604,0.009139952249825,0.4349764376815541,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000147.jpg,0,2,4,0,0,0,0,755,0.009994863532483578,0.4326484148057371,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000148.jpg,0,2,1,0,0,0,0,619,0.013485755771398544,0.443892383805374,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000149.jpg,0,4,0,0,0,0,0,379,0.012400509789586067,0.4517310502904866,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000150.jpg,0,3,1,0,0,0,0,460,0.010281743481755257,0.45822146952916964,lowlight,none,0.0
datasets\AU-AIR-YOLO\images\test\frame_20190905111947_x\frame_20190905111947_x_0000151.jpg,0,5,1,0,0,0,0,461,0.012615288607776165,0.46326387754175746,lowlight,none,0.0
