image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\ExDark-YOLO\images\test\2015_00401.jpg,0,0,2,0,0,0,0,147,0.004396036732941866,0.08225582107843137,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00402.jpg,0,0,8,0,0,0,0,653,0.011622876860201359,0.08165010978349672,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00403.jpg,0,2,4,0,0,0,0,349,0.010056469589471817,0.2188834693713551,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00404.jpg,0,4,5,0,1,0,0,839,0.0141814099624753,0.12543718716994995,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00405.jpg,0,0,9,0,2,0,0,290,0.008204198442399502,0.276456362768112,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00406.jpg,0,4,4,0,1,0,0,492,0.012250968255102634,0.2193200444240196,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00407.jpg,0,1,9,0,0,0,0,720,0.009402028284966946,0.19729878659210162,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00408.jpg,0,3,18,0,3,0,0,413,0.01200495008379221,0.10776145704183313,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00409.jpg,0,0,6,0,0,0,0,198,0.004666578024625778,0.06723369411764706,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00410.jpg,0,2,1,0,0,0,0,218,0.01375477947294712,0.12927611825980392,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00411.jpg,0,0,2,0,0,0,0,520,0.011174528859555721,0.12858719922395187,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00412.jpg,1,14,2,1,1,1,0,337,0.03182248771190643,0.28811598754084966,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00413.jpg,0,1,3,0,0,0,0,384,0.010602517984807491,0.2201813700065088,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00414.jpg,1,3,4,0,0,0,0,506,0.016247795894742012,0.21781509735041557,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00415.jpg,1,16,11,1,0,0,0,796,0.020062388852238655,0.17083521318363412,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00416.jpg,0,0,1,0,0,0,0,26,0.008877743035554886,0.13429822795906682,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00417.jpg,3,11,4,1,0,0,0,407,0.031624969094991684,0.14306252553104573,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00418.jpg,0,2,5,0,0,0,0,611,0.009449396282434464,0.2069417764501634,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00419.jpg,0,0,1,0,0,0,0,97,0.0029324444476515055,0.26400352328431376,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00420.jpg,0,5,7,0,1,0,0,306,0.012249035760760307,0.35593408673814353,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00421.jpg,0,5,6,0,1,0,0,370,0.012413058429956436,0.210212049983928,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00422.jpg,0,0,1,0,0,0,0,973,0.006835587788373232,0.2254699482166754,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00423.jpg,0,2,4,0,0,0,0,238,0.012070005759596825,0.18892432598039216,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00424.jpg,0,1,4,0,0,0,0,178,0.009709824807941914,0.17038972306212205,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00425.jpg,0,14,2,0,0,0,0,448,0.03149605169892311,0.2600329523777837,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00426.jpg,0,1,7,0,0,0,0,218,0.008925767615437508,0.20223111979166666,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00427.jpg,0,0,5,0,0,0,0,107,0.007542944513261318,0.24209145220588235,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00428.jpg,3,64,14,2,2,1,0,797,0.062473781406879425,0.10302002404735479,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00429.jpg,0,2,1,0,0,0,0,295,0.009458060376346111,0.21501232979950094,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00430.jpg,0,0,2,0,0,0,0,74,0.00452742725610733,0.15370052238423884,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00431.jpg,0,0,4,0,0,0,0,231,0.0041592782363295555,0.05256170634350745,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00432.jpg,0,4,8,0,0,0,0,250,0.013697288930416107,0.0902393715054381,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00433.jpg,0,2,6,0,0,0,0,308,0.009441683068871498,0.07911909016129239,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00434.jpg,0,9,7,0,0,0,0,225,0.027125436812639236,0.047567190033908295,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00435.jpg,0,0,1,0,0,0,0,54,0.003210528753697872,0.049144383415483155,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00436.JPEG,0,3,22,0,1,0,0,1000,0.01935974881052971,0.13940505098039216,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00437.JPEG,0,0,3,0,0,0,0,90,0.002901941305026412,0.19091471112509173,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00438.JPEG,0,6,4,0,2,0,1,244,0.029696019366383553,0.17749693071895423,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00439.JPEG,0,1,1,0,0,0,0,149,0.008211883716285229,0.1599074823529412,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00440.JPEG,0,3,10,0,0,0,0,474,0.013286149129271507,0.2246687163398693,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00441.JPEG,1,19,4,1,2,1,0,613,0.028014782816171646,0.27681208888888886,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00442.JPEG,0,14,2,0,0,0,0,406,0.022746380418539047,0.2935106928104575,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00443.JPEG,0,2,3,0,0,0,0,199,0.010555229149758816,0.2522909699346405,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00444.jpg,0,0,3,0,0,0,0,237,0.005147767253220081,0.18816601562500002,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00445.JPEG,0,12,12,0,3,0,1,893,0.02261929027736187,0.17823667450980393,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00446.jpg,0,4,6,0,0,0,0,436,0.01387029979377985,0.1116292418606787,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00447.jpg,0,4,2,0,0,0,0,59,0.04367531090974808,0.06384862762650632,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00448.jpg,0,3,2,0,0,0,0,61,0.05057903379201889,0.07220161787045547,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00449.JPG,0,2,2,0,0,0,0,50,0.017372308298945427,0.03519738562091503,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00450.jpg,0,0,3,0,0,0,0,92,0.004913350101560354,0.15647764705882353,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00451.JPG,0,2,4,0,0,0,0,237,0.010268707759678364,0.14321465931985058,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00452.JPG,0,1,4,0,0,0,0,146,0.010378173552453518,0.1269199954988403,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00453.JPG,0,0,7,0,0,0,0,241,0.008084284141659737,0.2526100841564519,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00454.JPG,0,0,5,0,0,0,0,226,0.004033273085951805,0.21548569580217386,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00455.JPG,0,0,4,0,0,0,0,117,0.006245521828532219,0.16148971070390222,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00456.JPG,0,0,3,0,0,0,0,77,0.003787723835557699,0.06157012548173612,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00457.JPG,0,0,4,0,0,0,0,294,0.005137735512107611,0.10151186718867135,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00458.JPG,0,0,4,0,0,0,0,375,0.006315139122307301,0.18407678246551729,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00459.JPG,0,0,3,0,0,0,0,314,0.006563499569892883,0.13422399350027933,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00460.JPG,0,0,2,0,0,0,0,741,0.004991814028471708,0.2058167797401117,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00461.jpg,0,2,3,0,0,0,0,174,0.018079660832881927,0.17874740401124642,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00462.jpg,4,5,4,0,0,0,0,196,0.031706105917692184,0.2965532489851409,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00463.jpg,0,1,6,0,3,0,0,263,0.012307591736316681,0.20582107843137254,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00464.jpg,0,7,5,0,1,0,0,504,0.018828898668289185,0.10618580765639589,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00465.jpeg,0,0,4,0,0,0,0,83,0.008249811828136444,0.13201665254579198,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00466.jpg,0,0,8,0,0,0,0,332,0.010369512252509594,0.061297661104050674,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00467.jpg,0,3,4,0,0,0,0,248,0.01615077070891857,0.04139408435402758,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00468.jpg,0,0,2,0,0,0,0,242,0.011901187710464,0.12706091388378268,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00469.jpg,0,0,5,0,0,0,0,456,0.006836877670139074,0.053372698423505206,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00470.jpg,0,0,9,0,0,0,0,498,0.006566961761564016,0.08404966828552408,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00471.jpg,0,6,6,0,0,0,0,197,0.02697242982685566,0.07948945567810457,lowlight,none,0.0
