image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\ExDark-YOLO\images\test\2015_00401.jpg,0,0,2,0,0,0,0,865,0.0056886435486376286,0.08225582107843137,lowlight,clahe,0.06310877502042483
datasets\ExDark-YOLO\images\test\2015_00402.jpg,0,0,8,0,0,0,0,608,0.009732586331665516,0.08165010978349672,lowlight,clahe,0.06411123876633987
datasets\ExDark-YOLO\images\test\2015_00403.jpg,0,3,4,0,0,0,0,467,0.012108688242733479,0.2188834693713551,lowlight,clahe,0.06858121744791668
datasets\ExDark-YOLO\images\test\2015_00404.jpg,0,3,5,0,1,0,0,800,0.013359565287828445,0.12543718716994995,lowlight,clahe,0.057651408675449343
datasets\ExDark-YOLO\images\test\2015_00405.jpg,0,0,9,0,2,0,0,293,0.008182039484381676,0.276456362768112,lowlight,clahe,0.0798357172947304
datasets\ExDark-YOLO\images\test\2015_00406.jpg,0,1,4,0,1,0,0,442,0.007528631016612053,0.2193200444240196,lowlight,clahe,0.06664846303104575
datasets\ExDark-YOLO\images\test\2015_00407.jpg,0,1,9,0,0,0,0,799,0.013542218133807182,0.19729878659210162,lowlight,clahe,0.08673469094669117
datasets\ExDark-YOLO\images\test\2015_00408.jpg,0,3,18,0,3,0,0,401,0.008588623255491257,0.10776145704183313,lowlight,clahe,0.07995991944955065
datasets\ExDark-YOLO\images\test\2015_00409.jpg,0,0,6,0,0,0,0,206,0.005255678202956915,0.06723369411764706,lowlight,clahe,0.04842710567299836
datasets\ExDark-YOLO\images\test\2015_00410.jpg,0,0,1,0,0,0,0,234,0.006893877871334553,0.12927611825980392,lowlight,clahe,0.06822490936478758
datasets\ExDark-YOLO\images\test\2015_00411.jpg,0,0,2,0,0,0,0,582,0.008947750553488731,0.12858719922395187,lowlight,clahe,0.0766316667943219
datasets\ExDark-YOLO\images\test\2015_00412.jpg,1,17,2,1,1,1,0,457,0.027244852855801582,0.28811598754084966,lowlight,clahe,0.06978563495710784
datasets\ExDark-YOLO\images\test\2015_00413.jpg,0,1,3,0,0,0,0,448,0.010870369151234627,0.2201813700065088,lowlight,clahe,0.06619547526041668
datasets\ExDark-YOLO\images\test\2015_00414.jpg,0,5,5,0,0,0,0,592,0.02175714820623398,0.21781509735041557,lowlight,clahe,0.07343476817810457
datasets\ExDark-YOLO\images\test\2015_00415.jpg,0,16,12,0,1,0,0,887,0.01963813602924347,0.17083521318363412,lowlight,clahe,0.08029419104881536
datasets\ExDark-YOLO\images\test\2015_00416.jpg,0,0,1,0,0,0,0,26,0.0070882816798985004,0.13429822795906682,lowlight,clahe,0.11460654105392157
datasets\ExDark-YOLO\images\test\2015_00417.jpg,3,21,4,1,0,0,0,485,0.03211317956447601,0.14306252553104573,lowlight,clahe,0.0679068882761438
datasets\ExDark-YOLO\images\test\2015_00418.jpg,0,2,5,0,0,0,0,722,0.01044644694775343,0.2069417764501634,lowlight,clahe,0.0709096009497549
datasets\ExDark-YOLO\images\test\2015_00419.jpg,0,0,1,0,0,0,0,119,0.0051446640864014626,0.26400352328431376,lowlight,clahe,0.07609690946691176
datasets\ExDark-YOLO\images\test\2015_00420.jpg,0,2,7,0,1,0,0,299,0.012088899500668049,0.35593408673814353,lowlight,clahe,0.040893666385825166
datasets\ExDark-YOLO\images\test\2015_00421.jpg,0,1,6,0,1,0,0,516,0.009287114255130291,0.210212049983928,lowlight,clahe,0.08601574946384803
datasets\ExDark-YOLO\images\test\2015_00422.jpg,0,0,1,0,0,0,0,941,0.006145050749182701,0.2254699482166754,lowlight,clahe,0.0790567076439951
datasets\ExDark-YOLO\images\test\2015_00423.jpg,0,0,4,0,0,0,0,195,0.009504332207143307,0.18892432598039216,lowlight,clahe,0.0685653786254085
datasets\ExDark-YOLO\images\test\2015_00424.jpg,0,0,4,0,0,0,0,181,0.007081063464283943,0.17038972306212205,lowlight,clahe,0.0695629691329657
datasets\ExDark-YOLO\images\test\2015_00425.jpg,0,15,2,0,0,0,0,487,0.03973480686545372,0.2600329523777837,lowlight,clahe,0.07299648948120915
datasets\ExDark-YOLO\images\test\2015_00426.jpg,0,0,7,0,0,0,0,186,0.006509969476610422,0.20223111979166666,lowlight,clahe,0.04849861174938726
datasets\ExDark-YOLO\images\test\2015_00427.jpg,0,0,5,0,0,0,0,123,0.007019217126071453,0.24209145220588235,lowlight,clahe,0.06080826184640523
datasets\ExDark-YOLO\images\test\2015_00428.jpg,3,75,14,2,2,1,0,861,0.0679810494184494,0.10302002404735479,lowlight,clahe,0.05987923815359477
datasets\ExDark-YOLO\images\test\2015_00429.jpg,0,0,1,0,0,0,0,384,0.006062446162104607,0.21501232979950094,lowlight,clahe,0.113636616625817
datasets\ExDark-YOLO\images\test\2015_00430.jpg,0,0,2,0,0,0,0,68,0.0026640240103006363,0.15370052238423884,lowlight,clahe,0.06568652024611928
datasets\ExDark-YOLO\images\test\2015_00431.jpg,0,0,4,0,0,0,0,257,0.0037115004379302263,0.05256170634350745,lowlight,clahe,0.03608008769914216
datasets\ExDark-YOLO\images\test\2015_00432.jpg,0,0,8,0,0,0,0,223,0.005589148495346308,0.0902393715054381,lowlight,clahe,0.056447377323325165
datasets\ExDark-YOLO\images\test\2015_00433.jpg,0,0,6,0,0,0,0,322,0.006755372043699026,0.07911909016129239,lowlight,clahe,0.043906597860498366
datasets\ExDark-YOLO\images\test\2015_00434.jpg,0,4,7,0,0,0,0,289,0.016420472413301468,0.047567190033908295,lowlight,clahe,0.0424507665696487
datasets\ExDark-YOLO\images\test\2015_00435.jpg,0,0,1,0,0,0,0,106,0.0037808159831911325,0.049144383415483155,lowlight,clahe,0.04964229409211601
datasets\ExDark-YOLO\images\test\2015_00436.JPEG,0,3,22,0,1,0,0,1000,0.018999936059117317,0.13940505098039216,lowlight,clahe,0.08029116561989379
datasets\ExDark-YOLO\images\test\2015_00437.JPEG,0,0,3,0,0,0,0,160,0.003452956210821867,0.19091471112509173,lowlight,clahe,0.05347541998570261
datasets\ExDark-YOLO\images\test\2015_00438.JPEG,0,3,4,0,2,0,1,230,0.0217654537409544,0.17749693071895423,lowlight,clahe,0.0811441801981209
datasets\ExDark-YOLO\images\test\2015_00439.JPEG,0,1,1,0,0,0,0,153,0.006367448717355728,0.1599074823529412,lowlight,clahe,0.10151975145526962
datasets\ExDark-YOLO\images\test\2015_00440.JPEG,0,4,10,0,0,0,0,501,0.011952394619584084,0.2246687163398693,lowlight,clahe,0.07082811223447712
datasets\ExDark-YOLO\images\test\2015_00441.JPEG,1,12,4,1,2,1,0,616,0.026044467464089394,0.27681208888888886,lowlight,clahe,0.07870882480596406
datasets\ExDark-YOLO\images\test\2015_00442.JPEG,0,15,2,0,0,0,0,522,0.0282360278069973,0.2935106928104575,lowlight,clahe,0.07547088822508169
datasets\ExDark-YOLO\images\test\2015_00443.JPEG,0,1,3,0,0,0,0,177,0.007326056715101004,0.2522909699346405,lowlight,clahe,0.08420526003370099
datasets\ExDark-YOLO\images\test\2015_00444.jpg,0,1,3,0,0,0,0,455,0.0048912824131548405,0.18816601562500002,lowlight,clahe,0.07154145603553921
datasets\ExDark-YOLO\images\test\2015_00445.JPEG,1,4,11,1,2,1,0,969,0.01876555196940899,0.17823667450980393,lowlight,clahe,0.07567451427185456
datasets\ExDark-YOLO\images\test\2015_00446.jpg,0,0,6,0,0,0,0,530,0.012296183966100216,0.1116292418606787,lowlight,clahe,0.051150776782066996
datasets\ExDark-YOLO\images\test\2015_00447.jpg,0,0,2,0,0,0,0,69,0.005638295318931341,0.06384862762650632,lowlight,clahe,0.025980669806985296
datasets\ExDark-YOLO\images\test\2015_00448.jpg,0,1,2,0,0,0,0,33,0.031273726373910904,0.07220161787045547,lowlight,clahe,0.027680076848447713
datasets\ExDark-YOLO\images\test\2015_00449.JPG,0,0,2,0,0,0,0,90,0.008080562576651573,0.03519738562091503,lowlight,clahe,0.036821930530024506
datasets\ExDark-YOLO\images\test\2015_00450.jpg,0,0,3,0,0,0,0,135,0.00515979528427124,0.15647764705882353,lowlight,clahe,0.04705709699244281
datasets\ExDark-YOLO\images\test\2015_00451.JPG,0,2,4,0,0,0,0,309,0.008037718944251537,0.14321465931985058,lowlight,clahe,0.06338675704656863
datasets\ExDark-YOLO\images\test\2015_00452.JPG,0,0,4,0,0,0,0,94,0.006094685755670071,0.1269199954988403,lowlight,clahe,0.07555080997242647
datasets\ExDark-YOLO\images\test\2015_00453.JPG,0,0,7,0,0,0,0,261,0.005179827567189932,0.2526100841564519,lowlight,clahe,0.08662295432495914
datasets\ExDark-YOLO\images\test\2015_00454.JPG,0,0,5,0,0,0,0,304,0.0035372639540582895,0.21548569580217386,lowlight,clahe,0.09654701222937093
