image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\ExDark-YOLO\images\test\2015_00401.jpg,0,1,2,0,0,0,0,623,0.005807990673929453,0.08225582107843137,lowlight,gamma,0.11870114315257353
datasets\ExDark-YOLO\images\test\2015_00402.jpg,0,1,8,0,0,0,0,1000,0.0123641612008214,0.08165010978349672,lowlight,gamma,0.12169965916053922
datasets\ExDark-YOLO\images\test\2015_00403.jpg,0,4,4,0,0,0,0,417,0.01275662425905466,0.2188834693713551,lowlight,gamma,0.1274290332669526
datasets\ExDark-YOLO\images\test\2015_00404.jpg,0,2,5,0,1,0,0,636,0.009345478378236294,0.12543718716994995,lowlight,gamma,0.10791676240808823
datasets\ExDark-YOLO\images\test\2015_00405.jpg,0,1,9,0,2,0,0,237,0.00790182314813137,0.276456362768112,lowlight,gamma,0.14668993821486928
datasets\ExDark-YOLO\images\test\2015_00406.jpg,0,5,4,0,1,0,0,748,0.0113075478002429,0.2193200444240196,lowlight,gamma,0.13097081482332518
datasets\ExDark-YOLO\images\test\2015_00407.jpg,0,0,9,0,0,0,0,748,0.008732167072594166,0.19729878659210162,lowlight,gamma,0.14437754991319446
datasets\ExDark-YOLO\images\test\2015_00408.jpg,0,4,18,0,3,0,0,544,0.012784933671355247,0.10776145704183313,lowlight,gamma,0.1424947118821487
datasets\ExDark-YOLO\images\test\2015_00409.jpg,0,0,6,0,0,0,0,177,0.004159082658588886,0.06723369411764706,lowlight,gamma,0.11406017986621732
datasets\ExDark-YOLO\images\test\2015_00410.jpg,0,6,1,0,0,0,0,492,0.014577142894268036,0.12927611825980392,lowlight,gamma,0.12253071703941994
datasets\ExDark-YOLO\images\test\2015_00411.jpg,0,1,2,0,0,0,0,619,0.008249977603554726,0.12858719922395187,lowlight,gamma,0.12904500804227942
datasets\ExDark-YOLO\images\test\2015_00412.jpg,0,14,3,0,2,0,1,374,0.0313989482820034,0.28811598754084966,lowlight,gamma,0.14930701401654412
datasets\ExDark-YOLO\images\test\2015_00413.jpg,0,1,3,0,0,0,0,349,0.007732545956969261,0.2201813700065088,lowlight,gamma,0.16510854204963235
datasets\ExDark-YOLO\images\test\2015_00414.jpg,1,5,4,0,0,0,0,426,0.014664296992123127,0.21781509735041557,lowlight,gamma,0.1652410130718954
datasets\ExDark-YOLO\images\test\2015_00415.jpg,0,15,12,0,1,0,0,807,0.022257596254348755,0.17083521318363412,lowlight,gamma,0.12773150914011436
datasets\ExDark-YOLO\images\test\2015_00416.jpg,0,0,1,0,0,0,0,32,0.007087805308401585,0.13429822795906682,lowlight,gamma,0.13544385723039215
datasets\ExDark-YOLO\images\test\2015_00417.jpg,3,14,4,1,0,0,0,344,0.036689504981040955,0.14306252553104573,lowlight,gamma,0.1278579612183415
datasets\ExDark-YOLO\images\test\2015_00418.jpg,0,0,5,0,0,0,0,390,0.004357951693236828,0.2069417764501634,lowlight,gamma,0.1295753644556781
datasets\ExDark-YOLO\images\test\2015_00419.jpg,0,0,1,0,0,0,0,119,0.004142545163631439,0.26400352328431376,lowlight,gamma,0.1396070708231209
datasets\ExDark-YOLO\images\test\2015_00420.jpg,0,3,7,0,1,0,0,278,0.01158898789435625,0.35593408673814353,lowlight,gamma,0.15974015778186273
datasets\ExDark-YOLO\images\test\2015_00421.jpg,0,3,6,0,1,0,0,612,0.013979620300233364,0.210212049983928,lowlight,gamma,0.14898165594362744
datasets\ExDark-YOLO\images\test\2015_00422.jpg,0,0,1,0,0,0,0,886,0.005482272710651159,0.2254699482166754,lowlight,gamma,0.13679990362030228
datasets\ExDark-YOLO\images\test\2015_00423.jpg,0,1,4,0,0,0,0,171,0.011165269650518894,0.18892432598039216,lowlight,gamma,0.11411466950061275
datasets\ExDark-YOLO\images\test\2015_00424.jpg,0,0,4,0,0,0,0,190,0.006753422785550356,0.17038972306212205,lowlight,gamma,0.13665265331392976
datasets\ExDark-YOLO\images\test\2015_00425.jpg,0,8,2,0,0,0,0,406,0.02733064815402031,0.2600329523777837,lowlight,gamma,0.13524364915236928
datasets\ExDark-YOLO\images\test\2015_00426.jpg,0,2,7,0,0,0,0,260,0.007622063625603914,0.20223111979166666,lowlight,gamma,0.16703694980596404
datasets\ExDark-YOLO\images\test\2015_00427.jpg,0,0,5,0,0,0,0,103,0.008962799794971943,0.24209145220588235,lowlight,gamma,0.1600193621068219
datasets\ExDark-YOLO\images\test\2015_00428.jpg,3,43,14,2,2,1,0,704,0.04968031495809555,0.10302002404735479,lowlight,gamma,0.12645361966401145
datasets\ExDark-YOLO\images\test\2015_00429.jpg,0,1,1,0,0,0,0,202,0.007147635333240032,0.21501232979950094,lowlight,gamma,0.1400546875
datasets\ExDark-YOLO\images\test\2015_00430.jpg,0,0,2,0,0,0,0,63,0.00282946671359241,0.15370052238423884,lowlight,gamma,0.14482535169015523
datasets\ExDark-YOLO\images\test\2015_00431.jpg,0,0,4,0,0,0,0,550,0.004468746483325958,0.05256170634350745,lowlight,gamma,0.10013362949346405
datasets\ExDark-YOLO\images\test\2015_00432.jpg,0,0,8,0,0,0,0,292,0.003815246280282736,0.0902393715054381,lowlight,gamma,0.13178110319648692
datasets\ExDark-YOLO\images\test\2015_00433.jpg,0,2,6,0,0,0,0,494,0.007046219427138567,0.07911909016129239,lowlight,gamma,0.11145685891544119
datasets\ExDark-YOLO\images\test\2015_00434.jpg,0,0,7,0,0,0,0,333,0.012293586507439613,0.047567190033908295,lowlight,gamma,0.1091151003370098
datasets\ExDark-YOLO\images\test\2015_00435.jpg,0,0,1,0,0,0,0,47,0.0027211743872612715,0.049144383415483155,lowlight,gamma,0.10544079669628267
datasets\ExDark-YOLO\images\test\2015_00436.JPEG,0,2,22,0,1,0,0,1000,0.008241680450737476,0.13940505098039216,lowlight,gamma,0.1456093558517157
datasets\ExDark-YOLO\images\test\2015_00437.JPEG,0,0,3,0,0,0,0,42,0.0017456946661695838,0.19091471112509173,lowlight,gamma,0.13248737808925654
datasets\ExDark-YOLO\images\test\2015_00438.JPEG,0,5,4,0,2,0,1,217,0.025388309732079506,0.17749693071895423,lowlight,gamma,0.13363504646650326
datasets\ExDark-YOLO\images\test\2015_00439.JPEG,0,0,1,0,0,0,0,138,0.004059373401105404,0.1599074823529412,lowlight,gamma,0.13231748493668302
datasets\ExDark-YOLO\images\test\2015_00440.JPEG,0,0,10,0,0,0,0,307,0.008052344433963299,0.2246687163398693,lowlight,gamma,0.139352823095384
datasets\ExDark-YOLO\images\test\2015_00441.JPEG,0,24,5,0,3,0,1,700,0.025859367102384567,0.27681208888888886,lowlight,gamma,0.13141854319852941
datasets\ExDark-YOLO\images\test\2015_00442.JPEG,0,4,2,0,0,0,0,273,0.01784687489271164,0.2935106928104575,lowlight,gamma,0.15936228234783498
datasets\ExDark-YOLO\images\test\2015_00443.JPEG,0,1,3,0,0,0,0,164,0.00743201794102788,0.2522909699346405,lowlight,gamma,0.1559820676317402
datasets\ExDark-YOLO\images\test\2015_00444.jpg,0,1,3,0,0,0,0,192,0.007269634399563074,0.18816601562500002,lowlight,gamma,0.16712622868157678
datasets\ExDark-YOLO\images\test\2015_00445.JPEG,0,16,12,0,3,0,1,1000,0.032176341861486435,0.17823667450980393,lowlight,gamma,0.12824908407373367
datasets\ExDark-YOLO\images\test\2015_00446.jpg,0,8,6,0,0,0,0,600,0.01997363194823265,0.1116292418606787,lowlight,gamma,0.1312254167943219
datasets\ExDark-YOLO\images\test\2015_00447.jpg,0,0,2,0,0,0,0,849,0.005970090627670288,0.06384862762650632,lowlight,gamma,0.08161907998876634
datasets\ExDark-YOLO\images\test\2015_00448.jpg,0,1,2,0,0,0,0,874,0.008096843026578426,0.07220161787045547,lowlight,gamma,0.0833461754493464
datasets\ExDark-YOLO\images\test\2015_00449.JPG,0,0,2,0,0,0,0,60,0.00960615836083889,0.03519738562091503,lowlight,gamma,0.08968603515625001
datasets\ExDark-YOLO\images\test\2015_00450.jpg,0,0,3,0,0,0,0,239,0.005851809401065111,0.15647764705882353,lowlight,gamma,0.13756044155943628
datasets\ExDark-YOLO\images\test\2015_00451.JPG,0,2,4,0,0,0,0,194,0.008060570806264877,0.14321465931985058,lowlight,gamma,0.1347866721558415
datasets\ExDark-YOLO\images\test\2015_00452.JPG,0,0,4,0,0,0,0,103,0.010644608177244663,0.1269199954988403,lowlight,gamma,0.14177086843852124
datasets\ExDark-YOLO\images\test\2015_00453.JPG,0,0,7,0,0,0,0,196,0.007408075034618378,0.2526100841564519,lowlight,gamma,0.15167848115808824
datasets\ExDark-YOLO\images\test\2015_00454.JPG,0,0,5,0,0,0,0,191,0.005242783576250076,0.21548569580217386,lowlight,gamma,0.15610880374285133
datasets\ExDark-YOLO\images\test\2015_00455.JPG,0,0,4,0,0,0,0,95,0.006179091054946184,0.16148971070390222,lowlight,gamma,0.14158260569852943
datasets\ExDark-YOLO\images\test\2015_00456.JPG,0,0,3,0,0,0,0,52,0.002221196424216032,0.06157012548173612,lowlight,gamma,0.09066091579861112
datasets\ExDark-YOLO\images\test\2015_00457.JPG,0,0,4,0,0,0,0,358,0.004274295177310705,0.10151186718867135,lowlight,gamma,0.10699442465788399
datasets\ExDark-YOLO\images\test\2015_00458.JPG,0,0,4,0,0,0,0,248,0.006552505772560835,0.18407678246551729,lowlight,gamma,0.1348353502859477
datasets\ExDark-YOLO\images\test\2015_00459.JPG,0,0,3,0,0,0,0,165,0.004925210494548082,0.13422399350027933,lowlight,gamma,0.12421232894199347
datasets\ExDark-YOLO\images\test\2015_00460.JPG,0,0,2,0,0,0,0,303,0.0027758576907217503,0.2058167797401117,lowlight,gamma,0.13972139565461603
datasets\ExDark-YOLO\images\test\2015_00461.jpg,0,0,3,0,0,0,0,341,0.009574691765010357,0.17874740401124642,lowlight,gamma,0.13484989340788398
datasets\ExDark-YOLO\images\test\2015_00462.jpg,2,3,6,0,0,0,0,171,0.02635846845805645,0.2965532489851409,lowlight,gamma,0.14080561938316993
datasets\ExDark-YOLO\images\test\2015_00463.jpg,0,1,6,0,3,0,0,279,0.0067141116596758366,0.20582107843137254,lowlight,gamma,0.13862981579350492
datasets\ExDark-YOLO\images\test\2015_00464.jpg,0,15,5,0,1,0,0,748,0.021419713273644447,0.10618580765639589,lowlight,gamma,0.14113664534824344
datasets\ExDark-YOLO\images\test\2015_00465.jpeg,0,0,4,0,0,0,0,94,0.0029319911263883114,0.13201665254579198,lowlight,gamma,0.137822163500817
datasets\ExDark-YOLO\images\test\2015_00466.jpg,0,36,8,0,0,0,0,1000,0.0726994052529335,0.061297661104050674,lowlight,gamma,0.12258866613051471
