image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\ExDark-YOLO\images\test\2015_00401.jpg,0,28,2,0,0,0,0,1000,0.04659570753574371,0.08225582107843137,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00402.jpg,0,0,8,0,0,0,0,1000,0.008378506638109684,0.08165010978349672,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00403.jpg,0,0,4,0,0,0,0,782,0.009981183335185051,0.2188834693713551,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00404.jpg,0,1,5,0,1,0,0,994,0.0058103883638978004,0.12543718716994995,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00405.jpg,0,3,9,0,2,0,0,822,0.013216660358011723,0.276456362768112,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00406.jpg,0,2,4,0,1,0,0,877,0.009635385125875473,0.2193200444240196,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00407.jpg,0,0,9,0,0,0,0,1000,0.00393123971298337,0.19729878659210162,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00408.jpg,7,47,11,0,3,0,0,1000,0.05189825966954231,0.10776145704183313,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00409.jpg,0,0,6,0,0,0,0,176,0.004686224739998579,0.06723369411764706,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00410.jpg,0,5,1,0,0,0,0,798,0.011373070999979973,0.12927611825980392,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00411.jpg,0,0,2,0,0,0,0,761,0.004582979250699282,0.12858719922395187,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00412.jpg,1,9,2,1,1,1,0,965,0.020657429471611977,0.28811598754084966,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00413.jpg,0,0,3,0,0,0,0,682,0.005681184120476246,0.2201813700065088,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00414.jpg,0,8,5,0,0,0,0,1000,0.02983759716153145,0.21781509735041557,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00415.jpg,0,44,12,0,1,0,0,1000,0.06455618143081665,0.17083521318363412,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00416.jpg,0,0,1,0,0,0,0,129,0.006749299354851246,0.13429822795906682,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00417.jpg,3,15,4,1,0,0,0,1000,0.02595033310353756,0.14306252553104573,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00418.jpg,0,0,5,0,0,0,0,1000,0.006711994763463736,0.2069417764501634,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00419.jpg,0,1,1,0,0,0,0,139,0.007329127751290798,0.26400352328431376,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00420.jpg,0,0,7,0,1,0,0,220,0.004646109417080879,0.35593408673814353,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00421.jpg,1,16,5,0,1,0,0,1000,0.022707499563694,0.210212049983928,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00422.jpg,0,0,1,0,0,0,0,691,0.004466779995709658,0.2254699482166754,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00423.jpg,0,4,4,0,0,0,0,1000,0.011424059979617596,0.18892432598039216,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00424.jpg,0,1,4,0,0,0,0,550,0.009066951461136341,0.17038972306212205,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00425.jpg,0,10,2,0,0,0,0,1000,0.020317500457167625,0.2600329523777837,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00426.jpg,0,6,7,0,0,0,0,458,0.012753567658364773,0.20223111979166666,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00427.jpg,0,0,5,0,0,0,0,143,0.00808020681142807,0.24209145220588235,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00428.jpg,2,32,15,2,2,1,0,1000,0.06016483157873154,0.10302002404735479,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00429.jpg,0,0,1,0,0,0,0,508,0.006736254785209894,0.21501232979950094,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00430.jpg,0,0,2,0,0,0,0,410,0.003955199848860502,0.15370052238423884,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00431.jpg,0,1,4,0,0,0,0,723,0.005473217461258173,0.05256170634350745,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00432.jpg,0,4,8,0,0,0,0,1000,0.012923593632876873,0.0902393715054381,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00433.jpg,0,4,6,0,0,0,0,1000,0.016414109617471695,0.07911909016129239,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00434.jpg,0,9,7,0,0,0,0,1000,0.026148606091737747,0.047567190033908295,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00435.jpg,0,3,1,0,0,0,0,433,0.010827726684510708,0.049144383415483155,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00436.JPEG,4,219,18,1,0,0,0,1000,0.16123570501804352,0.13940505098039216,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00437.JPEG,0,0,3,0,0,0,0,97,0.0028346015606075525,0.19091471112509173,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00438.JPEG,1,5,3,1,1,1,0,594,0.021871458739042282,0.17749693071895423,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00439.JPEG,0,0,1,0,0,0,0,889,0.007091102655977011,0.1599074823529412,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00440.JPEG,0,12,10,0,0,0,0,1000,0.0257708840072155,0.2246687163398693,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00441.JPEG,1,13,4,1,2,1,0,1000,0.01861112378537655,0.27681208888888886,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00442.JPEG,0,1,2,0,0,0,0,477,0.004894757643342018,0.2935106928104575,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00443.JPEG,1,1,2,0,0,0,0,824,0.012967831455171108,0.2522909699346405,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00444.jpg,0,1,3,0,0,0,0,1000,0.009971819818019867,0.18816601562500002,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00445.JPEG,1,26,11,1,2,1,0,1000,0.049376387149095535,0.17823667450980393,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00446.jpg,0,18,6,0,0,0,0,1000,0.028864027932286263,0.1116292418606787,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00447.jpg,0,5,2,0,0,0,0,110,0.030504850670695305,0.06384862762650632,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00448.jpg,0,4,2,0,0,0,0,119,0.030711419880390167,0.07220161787045547,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00449.JPG,0,0,2,0,0,0,0,641,0.006289336364716291,0.03519738562091503,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00450.jpg,0,2,3,0,0,0,0,974,0.011154664680361748,0.15647764705882353,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00451.JPG,0,4,4,0,0,0,0,237,0.015051626600325108,0.14321465931985058,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00452.JPG,0,1,4,0,0,0,0,282,0.005548801738768816,0.1269199954988403,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00453.JPG,0,2,7,0,0,0,0,1000,0.010524207726120949,0.2526100841564519,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00454.JPG,0,10,5,0,0,0,0,1000,0.019198812544345856,0.21548569580217386,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00455.JPG,0,6,4,0,0,0,0,651,0.013387899845838547,0.16148971070390222,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00456.JPG,0,0,3,0,0,0,0,675,0.0034241308458149433,0.06157012548173612,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00457.JPG,0,2,4,0,0,0,0,647,0.008161011151969433,0.10151186718867135,lowlight,none,0.0
datasets\ExDark-YOLO\images\test\2015_00458.JPG,0,7,4,0,0,0,0,718,0.011064009740948677,0.18407678246551729,lowlight,none,0.0
