epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.472,2.06649,3.32189,1.86499,0.40107,0.35609,0.33494,0.16971,1.81985,2.33557,1.75502,0.000236734,0.000236734,0.000236734
2,83.1927,1.69161,2.06516,1.6161,0.44552,0.45258,0.41697,0.22181,1.73505,2.09101,1.66962,0.000451235,0.000451235,0.000451235
3,111.32,1.64095,1.91354,1.5726,0.5599,0.43488,0.44659,0.2376,1.73674,2.11498,1.69346,0.000642173,0.000642173,0.000642173
4,139.292,1.60727,1.83197,1.54031,0.57583,0.48432,0.49738,0.27473,1.66813,1.87448,1.61259,0.000607971,0.000607971,0.000607971
5,167.21,1.60185,1.79033,1.53914,0.55998,0.48453,0.50648,0.28811,1.67032,1.82746,1.59591,0.000572628,0.000572628,0.000572628
6,195.172,1.55525,1.69256,1.50008,0.59509,0.52096,0.56873,0.33262,1.61794,1.82575,1.56627,0.000537285,0.000537285,0.000537285
7,223.037,1.49885,1.61561,1.46825,0.61048,0.5355,0.55675,0.31572,1.6294,1.66716,1.56217,0.000501942,0.000501942,0.000501942
8,250.824,1.46238,1.5192,1.44456,0.65618,0.53957,0.59555,0.35151,1.55713,1.59563,1.55003,0.000466599,0.000466599,0.000466599
9,278.662,1.45514,1.4875,1.42837,0.66363,0.5582,0.62202,0.3671,1.57747,1.63163,1.54363,0.000431256,0.000431256,0.000431256
10,306.48,1.42378,1.43708,1.41059,0.70722,0.57655,0.65388,0.39138,1.52228,1.47757,1.49488,0.000395913,0.000395913,0.000395913
11,337.626,1.3999,1.35458,1.40448,0.70508,0.58744,0.65055,0.39324,1.51863,1.49958,1.49698,0.00036057,0.00036057,0.00036057
12,364.861,1.38736,1.29519,1.39729,0.75589,0.57875,0.6744,0.40804,1.4861,1.43856,1.46821,0.000325227,0.000325227,0.000325227
13,392.127,1.34429,1.21387,1.36326,0.72314,0.61485,0.68857,0.4255,1.49954,1.40124,1.47036,0.000289884,0.000289884,0.000289884
14,419.379,1.32399,1.16644,1.34637,0.75872,0.59664,0.68644,0.41562,1.52436,1.37262,1.48322,0.000254541,0.000254541,0.000254541
15,446.58,1.29628,1.11749,1.33557,0.74,0.61996,0.69606,0.42913,1.4837,1.35494,1.45613,0.000219198,0.000219198,0.000219198
16,473.76,1.28626,1.07715,1.31586,0.75322,0.63346,0.71096,0.44323,1.45879,1.31547,1.4397,0.000183855,0.000183855,0.000183855
17,500.943,1.24463,1.03229,1.29143,0.73504,0.65065,0.72324,0.45655,1.44167,1.26769,1.42034,0.000148512,0.000148512,0.000148512
18,528.146,1.23286,1.0049,1.27599,0.78114,0.65014,0.72793,0.4583,1.42398,1.25966,1.41605,0.000113169,0.000113169,0.000113169
19,555.323,1.20889,0.96684,1.26431,0.77,0.64796,0.73298,0.46487,1.42137,1.2309,1.40255,7.7826e-05,7.7826e-05,7.7826e-05
20,582.524,1.20113,0.94794,1.25324,0.7819,0.65253,0.74492,0.47044,1.42191,1.23144,1.40573,4.2483e-05,4.2483e-05,4.2483e-05
