image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\VisDrone-LL\LL2\images\val\0000001_02999_d_0000005.jpg,19,28,108,8,68,3,41,1000,0.053253140300512314,0.0566648908405955,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_03499_d_0000006.jpg,10,28,67,0,53,0,37,1000,0.05184656009078026,0.07872987397119342,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_03999_d_0000007.jpg,5,16,43,1,25,0,3,1000,0.04785549268126488,0.11077253162067295,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_04527_d_0000008.jpg,1,30,114,1,71,0,32,1000,0.04693218320608139,0.08940641453340596,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05249_d_0000009.jpg,57,55,56,1,26,0,5,1000,0.09719455987215042,0.05355310646635197,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05499_d_0000010.jpg,62,33,78,1,51,1,19,1000,0.08329412341117859,0.03809568279472283,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05999_d_0000011.jpg,38,35,77,1,65,0,47,1000,0.0583764873445034,0.07329304534313726,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_07999_d_0000012.jpg,8,19,128,6,93,4,61,1000,0.05461706221103668,0.16323533761498427,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_08414_d_0000013.jpg,15,30,149,0,107,0,47,1000,0.05942966416478157,0.03708694550351005,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00000_d_0000001.jpg,1,1,30,0,23,0,20,344,0.016622936353087425,0.07126971374969741,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00500_d_0000002.jpg,2,3,15,2,13,1,11,470,0.013115043751895428,0.07733084452916969,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00800_d_0000003.jpg,2,10,5,2,5,2,2,561,0.01808163709938526,0.10560822893972403,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_00000_d_0000004.jpg,11,13,30,6,29,4,23,1000,0.02209845371544361,0.07014603758169935,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_00500_d_0000005.jpg,6,14,26,4,18,3,11,613,0.031311120837926865,0.10847590625756474,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_01036_d_0000006.jpg,5,1,11,0,4,0,3,855,0.010129611939191818,0.02123007443718228,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_01251_d_0000007.jpg,3,9,9,0,0,0,0,839,0.017846811562776566,0.04326613562091503,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00000_d_0000008.jpg,10,14,30,6,29,2,24,736,0.025747114792466164,0.05602557643427742,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00300_d_0000009.jpg,4,9,26,4,21,3,12,359,0.03603897616267204,0.062327523602033405,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00868_d_0000010.jpg,7,2,13,2,4,2,3,566,0.021688975393772125,0.039691108387799566,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_01233_d_0000011.jpg,3,17,11,0,0,0,0,706,0.022765303030610085,0.04418258290970709,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000024_00000_d_0000012.jpg,3,6,18,1,8,0,3,1000,0.014972055330872536,0.0710253797506657,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000024_00500_d_0000013.jpg,1,6,9,0,1,0,0,697,0.013654394075274467,0.0876729000242072,lowlight,none,0.0
