image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\VisDrone\images\val\0000001_02999_d_0000005.jpg,18,17,109,7,69,2,42,1000,0.037747837603092194,0.4932093470104091,clean,none,0.0
datasets\VisDrone\images\val\0000001_03499_d_0000006.jpg,18,16,59,3,50,2,35,822,0.03498272970318794,0.47841264978213505,clean,none,0.0
datasets\VisDrone\images\val\0000001_03999_d_0000007.jpg,11,12,37,2,24,0,3,927,0.029963992536067963,0.5902268405047204,clean,none,0.0
datasets\VisDrone\images\val\0000001_04527_d_0000008.jpg,8,19,107,4,68,1,31,1000,0.03179740160703659,0.47032791318687966,clean,none,0.0
datasets\VisDrone\images\val\0000001_05249_d_0000009.jpg,69,55,44,2,25,0,5,1000,0.0770052894949913,0.40622251913882834,clean,none,0.0
datasets\VisDrone\images\val\0000001_05499_d_0000010.jpg,69,28,71,1,51,1,19,963,0.08078765124082565,0.38603200269305254,clean,none,0.0
datasets\VisDrone\images\val\0000001_05999_d_0000011.jpg,43,35,72,6,60,3,44,922,0.06262269616127014,0.3910783670721375,clean,none,0.0
datasets\VisDrone\images\val\0000001_07999_d_0000012.jpg,12,13,124,5,94,3,62,1000,0.03425762057304382,0.5714767988985717,clean,none,0.0
datasets\VisDrone\images\val\0000001_08414_d_0000013.jpg,27,35,137,4,103,1,46,1000,0.06275688111782074,0.29333467796840956,clean,none,0.0
datasets\VisDrone\images\val\0000021_00000_d_0000001.jpg,6,8,25,1,22,1,19,240,0.04523368924856186,0.3799458893125151,clean,none,0.0
datasets\VisDrone\images\val\0000021_00500_d_0000002.jpg,5,6,12,4,11,3,9,178,0.04529745504260063,0.3973381142580489,clean,none,0.0
datasets\VisDrone\images\val\0000021_00800_d_0000003.jpg,3,8,4,3,4,3,1,117,0.05282753333449364,0.416146105664488,clean,none,0.0
datasets\VisDrone\images\val\0000022_00000_d_0000004.jpg,16,20,25,11,24,6,21,323,0.05854770913720131,0.39307166091745344,clean,none,0.0
datasets\VisDrone\images\val\0000022_00500_d_0000005.jpg,17,15,15,12,10,7,7,293,0.062474463135004044,0.5186377541757444,clean,none,0.0
datasets\VisDrone\images\val\0000022_01036_d_0000006.jpg,11,7,5,2,2,1,2,355,0.03817145153880119,0.3170553588719438,clean,none,0.0
datasets\VisDrone\images\val\0000022_01251_d_0000007.jpg,5,20,7,0,0,0,0,398,0.04430704191327095,0.3829363198983297,clean,none,0.0
datasets\VisDrone\images\val\0000023_00000_d_0000008.jpg,14,22,26,10,25,4,22,323,0.05854770913720131,0.39307166091745344,clean,none,0.0
datasets\VisDrone\images\val\0000023_00300_d_0000009.jpg,9,14,21,7,18,5,10,349,0.04098780080676079,0.4167211102033406,clean,none,0.0
datasets\VisDrone\images\val\0000023_00868_d_0000010.jpg,11,18,9,2,4,2,3,477,0.04398587718605995,0.37602971435487775,clean,none,0.0
datasets\VisDrone\images\val\0000023_01233_d_0000011.jpg,7,14,7,0,0,0,0,379,0.03855390101671219,0.38105649358508836,clean,none,0.0
datasets\VisDrone\images\val\0000024_00000_d_0000012.jpg,8,12,13,2,7,1,2,210,0.06000741198658943,0.39346423384168483,clean,none,0.0
datasets\VisDrone\images\val\0000024_00500_d_0000013.jpg,4,5,6,0,1,0,0,314,0.03132610395550728,0.4223997367465505,clean,none,0.0
datasets\VisDrone\images\val\0000024_01000_d_0000014.jpg,3,3,9,3,9,0,9,136,0.03564031049609184,0.4326288580246913,clean,none,0.0
datasets\VisDrone\images\val\0000024_01543_d_0000015.jpg,6,0,2,1,0,0,0,165,0.0364532545208931,0.41788632443718227,clean,none,0.0
datasets\VisDrone\images\val\0000026_00000_d_0000024.jpg,8,0,0,0,0,0,0,48,0.14046138525009155,0.48392231494673993,clean,none,0.0
datasets\VisDrone\images\val\0000026_00500_d_0000025.jpg,14,7,1,1,0,0,0,92,0.14695100486278534,0.5055596188494622,clean,none,0.0
datasets\VisDrone\images\val\0000026_01000_d_0000026.jpg,23,5,2,2,1,0,0,199,0.10882249474525452,0.48311851022608193,clean,none,0.0
datasets\VisDrone\images\val\0000026_01500_d_0000027.jpg,9,5,1,0,0,0,0,128,0.09168319404125214,0.45983136953358816,clean,none,0.0
datasets\VisDrone\images\val\0000026_02000_d_0000028.jpg,9,3,0,0,0,0,0,99,0.09290994703769684,0.4365951029392918,clean,none,0.0
datasets\VisDrone\images\val\0000026_02500_d_0000029.jpg,10,7,7,5,4,1,2,126,0.09081120043992996,0.5659949378444188,clean,none,0.0
datasets\VisDrone\images\val\0000026_03000_d_0000030.jpg,13,3,0,0,0,0,0,110,0.11070787906646729,0.553296782534621,clean,none,0.0
datasets\VisDrone\images\val\0000026_03500_d_0000031.jpg,21,2,2,0,1,0,0,94,0.19498470425605774,0.5019755825436673,clean,none,0.0
datasets\VisDrone\images\val\0000026_04000_d_0000032.jpg,13,1,1,0,0,0,0,102,0.12918499112129211,0.489931432857649,clean,none,0.0
datasets\VisDrone\images\val\0000026_04500_d_0000033.jpg,21,10,26,5,19,1,11,566,0.03842100128531456,0.519733141853435,clean,none,0.0
datasets\VisDrone\images\val\0000026_04978_d_0000034.jpg,24,11,21,1,15,1,12,552,0.04756287857890129,0.5006889356280767,clean,none,0.0
datasets\VisDrone\images\val\0000055_00000_d_0000109.jpg,7,20,94,1,56,0,28,610,0.032716792076826096,0.16447551289034132,real_lowlight,none,0.0
datasets\VisDrone\images\val\0000055_00714_d_0000110.jpg,28,59,57,15,33,9,16,1000,0.07158288359642029,0.10150602154442023,synthetic_lowlight,none,0.0
datasets\VisDrone\images\val\0000069_00001_d_0000001.jpg,19,11,15,1,6,0,1,400,0.06705596297979355,0.49740793133862543,clean,none,0.0
datasets\VisDrone\images\val\0000069_00483_d_0000002.jpg,21,23,6,3,3,2,0,318,0.07911848276853561,0.5137240314811046,clean,none,0.0
datasets\VisDrone\images\val\0000069_00713_d_0000003.jpg,26,23,23,3,19,0,4,379,0.08962580561637878,0.5012363796729765,clean,none,0.0
datasets\VisDrone\images\val\0000069_01109_d_0000004.jpg,17,7,14,3,3,1,1,314,0.06500814855098724,0.49232929642445217,clean,none,0.0
datasets\VisDrone\images\val\0000069_01878_d_0000005.jpg,27,15,9,6,6,2,4,252,0.10418442636728287,0.4973553384444897,clean,none,0.0
datasets\VisDrone\images\val\0000069_02163_d_0000006.jpg,17,26,32,4,13,2,5,566,0.05738425999879837,0.4268453008269821,clean,none,0.0
datasets\VisDrone\images\val\0000069_02480_d_0000007.jpg,25,23,39,9,20,2,16,806,0.04592422395944595,0.4532283435481074,clean,none,0.0
datasets\VisDrone\images\val\0000072_02834_d_0000003.jpg,49,42,24,6,15,0,4,636,0.09353616833686829,0.2500958115656874,clean,none,0.0
datasets\VisDrone\images\val\0000076_02142_d_0000009.jpg,6,4,5,1,3,1,2,278,0.035381730645895004,0.5595369767284076,clean,none,0.0
datasets\VisDrone\images\val\0000081_00000_d_0000001.jpg,46,133,40,36,38,27,30,1000,0.09510750323534012,0.40458608690389736,clean,none,0.0
datasets\VisDrone\images\val\0000086_00000_d_0000001.jpg,20,25,17,6,15,1,6,602,0.05414839833974838,0.364808014100702,clean,none,0.0
datasets\VisDrone\images\val\0000086_00592_d_0000002.jpg,29,36,36,12,28,9,20,733,0.057583119720220566,0.323542082728153,clean,none,0.0
datasets\VisDrone\images\val\0000086_01084_d_0000003.jpg,52,56,94,40,92,28,77,932,0.07388978451490402,0.3613407619220528,clean,none,0.0
datasets\VisDrone\images\val\0000086_01443_d_0000004.jpg,57,82,50,52,44,36,34,943,0.08798424154520035,0.3991304693173566,clean,none,0.0
datasets\VisDrone\images\val\0000086_01954_d_0000005.jpg,62,76,111,54,109,43,91,1000,0.07994554191827774,0.35149240498668605,clean,none,0.0
datasets\VisDrone\images\val\0000103_00180_d_0000026.jpg,1,3,0,0,0,0,0,91,0.0257894154638052,0.32156555548016974,clean,none,0.0
datasets\VisDrone\images\val\0000103_00502_d_0000027.jpg,3,2,0,0,0,0,0,87,0.04059411212801933,0.42746931421549783,clean,none,0.0
datasets\VisDrone\images\val\0000103_01734_d_0000028.jpg,3,3,1,0,0,0,0,131,0.03653354570269585,0.3798851535231547,clean,none,0.0
datasets\VisDrone\images\val\0000103_02544_d_0000029.jpg,5,9,9,0,0,0,0,363,0.032823625952005386,0.38521226375979073,clean,none,0.0
datasets\VisDrone\images\val\0000103_02964_d_0000030.jpg,4,9,6,0,0,0,0,253,0.03502582013607025,0.3513484971843409,clean,none,0.0
datasets\VisDrone\images\val\0000103_03349_d_0000031.jpg,3,5,1,0,0,0,0,98,0.05056186020374298,0.49766342130854646,clean,none,0.0
datasets\VisDrone\images\val\0000103_03738_d_0000032.jpg,3,3,0,0,0,0,0,119,0.03543004393577576,0.42582163722851696,clean,none,0.0
datasets\VisDrone\images\val\0000103_04122_d_0000033.jpg,4,2,0,0,0,0,0,133,0.034846436232328415,0.4680989249986808,clean,none,0.0
datasets\VisDrone\images\val\0000103_04513_d_0000034.jpg,2,1,0,0,0,0,0,238,0.013930284418165684,0.43328756662218904,clean,none,0.0
datasets\VisDrone\images\val\0000103_04948_d_0000035.jpg,0,1,1,0,0,0,0,81,0.016491204500198364,0.3416647970991549,clean,none,0.0
datasets\VisDrone\images\val\0000115_00315_d_0000080.jpg,13,5,48,9,47,4,43,650,0.02991119958460331,0.17664561395545872,clean,none,0.0
datasets\VisDrone\images\val\0000115_00796_d_0000081.jpg,22,32,56,16,51,9,36,1000,0.05244636535644531,0.2200582713023481,clean,none,0.0
datasets\VisDrone\images\val\0000115_01031_d_0000082.jpg,23,17,40,14,38,5,29,936,0.040436483919620514,0.19595759955216654,clean,none,0.0
datasets\VisDrone\images\val\0000116_00351_d_0000083.jpg,28,20,46,24,41,5,29,652,0.053677354007959366,0.26706371792544176,clean,none,0.0
datasets\VisDrone\images\val\0000116_00819_d_0000084.jpg,14,16,22,6,18,2,12,755,0.02975373901426792,0.26124990922294844,clean,none,0.0
datasets\VisDrone\images\val\0000116_01059_d_0000085.jpg,20,12,50,11,48,8,43,728,0.03690532222390175,0.28843862714839025,clean,none,0.0
datasets\VisDrone\images\val\0000116_01338_d_0000086.jpg,12,13,42,9,38,7,33,544,0.03389414772391319,0.2045211586177681,clean,none,0.0
datasets\VisDrone\images\val\0000117_00112_d_0000087.jpg,8,1,121,0,112,0,90,222,0.03046220913529396,0.19795944998529977,real_lowlight,none,0.0
datasets\VisDrone\images\val\0000117_01326_d_0000088.jpg,8,5,54,0,34,0,28,280,0.039446670562028885,0.20090668370385448,real_lowlight,none,0.0
datasets\VisDrone\images\val\0000117_01731_d_0000089.jpg,3,6,44,0,27,0,20,201,0.03892737627029419,0.19560085110553255,real_lowlight,none,0.0
