image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\ExDark-VisDroneOverlap\images\test\2015_00401.jpg,0,28,2,0,0,0,0,1000,0.04659570753574371,0.08225582107843137,synthetic_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00402.jpg,8,3,0,0,0,0,0,86,0.09438121318817139,0.08165010978349672,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00403.jpg,3,1,1,0,0,0,0,68,0.056759871542453766,0.2188834693713551,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00404.jpg,3,4,2,0,1,0,0,90,0.049667008221149445,0.12543718716994995,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00405.jpg,2,1,7,0,2,0,0,50,0.05614206939935684,0.276456362768112,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00406.jpg,2,0,2,0,1,0,0,106,0.0250827819108963,0.2193200444240196,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00407.jpg,8,5,1,0,0,0,0,149,0.0591885931789875,0.19729878659210162,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00408.jpg,12,10,6,1,2,0,0,300,0.0547238364815712,0.10776145704183313,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00409.jpg,3,5,3,0,0,0,0,56,0.09370635449886322,0.06723369411764706,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00410.jpg,1,0,0,0,0,0,0,16,0.06090839207172394,0.12927611825980392,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00411.jpg,1,1,1,0,0,0,0,34,0.04238848388195038,0.12858719922395187,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00412.jpg,3,1,0,2,0,1,0,27,0.10124770551919937,0.28811598754084966,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00413.jpg,2,5,1,0,0,0,0,109,0.048564109951257706,0.2201813700065088,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00414.jpg,1,3,4,0,0,0,0,506,0.016247795894742012,0.21781509735041557,clean,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00415.jpg,10,5,2,1,0,0,0,110,0.10213898122310638,0.17083521318363412,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00416.jpg,1,0,0,0,0,0,0,9,0.10681799054145813,0.13429822795906682,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00417.jpg,5,1,2,1,0,0,0,120,0.05090397223830223,0.14306252553104573,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00418.jpg,3,2,2,0,0,0,0,127,0.03608383238315582,0.2069417764501634,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00419.jpg,1,1,0,0,0,0,0,7,0.17792434990406036,0.26400352328431376,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00420.jpg,3,4,4,0,1,0,0,180,0.027640461921691895,0.35593408673814353,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00421.jpg,4,0,2,0,1,0,0,50,0.05736679956316948,0.210212049983928,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00422.jpg,1,0,0,0,0,0,0,10,0.11872833967208862,0.2254699482166754,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00423.jpg,4,0,0,0,0,0,0,35,0.1039978489279747,0.18892432598039216,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00424.jpg,2,5,2,0,0,0,0,66,0.06486455351114273,0.17038972306212205,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00425.jpg,2,5,0,0,0,0,0,127,0.04072519391775131,0.2600329523777837,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00426.jpg,6,6,1,0,0,0,0,74,0.10679837316274643,0.20223111979166666,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00427.jpg,3,0,2,0,0,0,0,48,0.06181063875555992,0.24209145220588235,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00428.jpg,10,19,7,1,3,0,1,312,0.0576324388384819,0.10302002404735479,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00429.jpg,1,0,0,0,0,0,0,21,0.049757927656173706,0.21501232979950094,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00430.jpg,2,0,0,0,0,0,0,20,0.07582312077283859,0.15370052238423884,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00431.jpg,4,0,0,0,0,0,0,22,0.15259075164794922,0.05256170634350745,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00432.jpg,6,1,2,0,0,0,0,65,0.09753511101007462,0.0902393715054381,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00433.jpg,6,6,0,0,0,0,0,179,0.04812292382121086,0.07911909016129239,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00434.jpg,6,5,1,0,0,0,0,46,0.1410609781742096,0.047567190033908295,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00435.jpg,0,0,1,0,0,0,0,54,0.003210528753697872,0.049144383415483155,clean,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00436.JPEG,13,23,9,1,0,0,0,511,0.05692296102643013,0.13940505098039216,real_lowlight,none,0.0
datasets\ExDark-VisDroneOverlap\images\test\2015_00437.JPEG,1,1,2,0,0,0,0,16,0.0880458801984787,0.19091471112509173,real_lowlight,none,0.0
