image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\VisDrone-LL\LL2\images\val\0000001_02999_d_0000005.jpg,11,13,116,3,73,1,43,1000,0.04075296223163605,0.0566648908405955,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_03499_d_0000006.jpg,12,11,65,0,53,0,37,1000,0.03599614277482033,0.07872987397119342,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_03999_d_0000007.jpg,2,3,46,0,26,0,3,1000,0.032517943531274796,0.11077253162067295,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_04527_d_0000008.jpg,2,3,113,1,71,0,32,1000,0.03978738561272621,0.08940641453340596,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05249_d_0000009.jpg,62,43,51,1,26,0,5,1000,0.09085699915885925,0.05355310646635197,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05499_d_0000010.jpg,67,28,73,1,51,1,19,1000,0.07910161465406418,0.03809568279472283,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05999_d_0000011.jpg,39,38,76,0,66,0,47,1000,0.06134209409356117,0.07329304534313726,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_07999_d_0000012.jpg,9,26,127,4,95,2,63,1000,0.05643279105424881,0.16323533761498427,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_08414_d_0000013.jpg,15,22,149,0,107,0,47,1000,0.0517362542450428,0.03708694550351005,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00000_d_0000001.jpg,2,9,29,1,22,1,19,685,0.020933721214532852,0.07126971374969741,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00500_d_0000002.jpg,2,2,15,2,13,1,11,330,0.01907566748559475,0.07733084452916969,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00800_d_0000003.jpg,1,3,6,1,6,1,3,207,0.024911360815167427,0.10560822893972403,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_00000_d_0000004.jpg,11,18,30,6,29,3,24,1000,0.026365261524915695,0.07014603758169935,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_00500_d_0000005.jpg,8,24,24,5,17,5,9,536,0.044576577842235565,0.10847590625756474,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_01036_d_0000006.jpg,4,11,12,0,4,0,3,1000,0.023197202011942863,0.02123007443718228,synthetic_lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_01251_d_0000007.jpg,2,21,10,0,0,0,0,1000,0.026805926114320755,0.04326613562091503,synthetic_lowlight,none,0.0
