iteration,image,gate_mode,detector_route,preprocess_ms,enhancer_ms,detector_ms,total_ms,residual_l1,gpu_memory_mb
0,datasets\VisDrone-LL\LL2\images\val\0000001_02999_d_0000005.jpg,bypass,lowlight,0.8913000056054443,0.0,10.638200008543208,11.860099999466911,0.0,91.302734375
1,datasets\VisDrone-LL\LL2\images\val\0000001_03499_d_0000006.jpg,bypass,lowlight,0.8786999969743192,0.0,11.690300016198307,12.886699987575412,0.0,91.30322265625
2,datasets\VisDrone-LL\LL2\images\val\0000001_03999_d_0000007.jpg,bypass,lowlight,1.0071999859064817,0.0,11.06160000199452,12.396900012390688,0.0,91.30322265625
3,datasets\VisDrone-LL\LL2\images\val\0000001_04527_d_0000008.jpg,bypass,lowlight,0.8960000122897327,0.0,10.309400007827207,11.571800016099587,0.0,91.30322265625
4,datasets\VisDrone-LL\LL2\images\val\0000001_05249_d_0000009.jpg,bypass,lowlight,1.4561999996658415,0.0,10.829400009242818,12.608799996087328,0.0,91.30322265625
5,datasets\VisDrone-LL\LL2\images\val\0000001_05499_d_0000010.jpg,bypass,lowlight,0.8416000055149198,0.0,14.700800005812198,15.874500008067116,0.0,91.3046875
6,datasets\VisDrone-LL\LL2\images\val\0000001_05999_d_0000011.jpg,bypass,lowlight,1.0648999887052923,0.0,11.769100005039945,13.184299983549863,0.0,91.3046875
7,datasets\VisDrone-LL\LL2\images\val\0000001_07999_d_0000012.jpg,bypass,lowlight,0.9833000076469034,0.0,10.50449998001568,11.937700008274987,0.0,91.3046875
8,datasets\VisDrone-LL\LL2\images\val\0000001_08414_d_0000013.jpg,bypass,lowlight,1.1062999838031828,0.0,15.722100011771545,17.186199984280393,0.0,91.3046875
9,datasets\VisDrone-LL\LL2\images\val\0000021_00000_d_0000001.jpg,bypass,lowlight,0.8299000037368387,0.0,9.733299986692145,11.233299999730662,0.0,91.3046875
10,datasets\VisDrone-LL\LL2\images\val\0000021_00500_d_0000002.jpg,bypass,lowlight,0.6137000164017081,0.0,11.387000005925074,12.829100014641881,0.0,91.3046875
11,datasets\VisDrone-LL\LL2\images\val\0000021_00800_d_0000003.jpg,bypass,lowlight,0.5310999986249954,0.0,11.874000017996877,12.712399999145418,0.0,91.3046875
