image,tp,fp,fn,small_tp,small_fn,tiny_side_tp,tiny_side_fn,detections,mean_confidence,illumination_mean,detector_route,gate_mode,residual_l1
datasets\VisDrone-LL\LL2\images\val\0000001_02999_d_0000005.jpg,0,0,127,0,76,0,44,63,0.006726262625306845,0.0566648908405955,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_03499_d_0000006.jpg,0,0,77,0,53,0,37,14,0.003892556531354785,0.07872987397119342,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_03999_d_0000007.jpg,0,0,48,0,26,0,3,6,0.0022776422556489706,0.11077253162067295,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_04527_d_0000008.jpg,0,0,115,0,72,0,32,11,0.0015256688930094242,0.08940641453340596,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05249_d_0000009.jpg,0,0,113,0,27,0,5,19,0.00481390068307519,0.05355310646635197,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05499_d_0000010.jpg,0,0,140,0,52,0,20,156,0.006629590876400471,0.03809568279472283,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_05999_d_0000011.jpg,0,0,115,0,66,0,47,23,0.00965921301394701,0.07329304534313726,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_07999_d_0000012.jpg,0,0,136,0,99,0,65,15,0.008565514348447323,0.16323533761498427,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000001_08414_d_0000013.jpg,0,1,164,0,107,0,47,49,0.016541646793484688,0.03708694550351005,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00000_d_0000001.jpg,2,4,29,0,23,0,20,101,0.03959532082080841,0.07126971374969741,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00500_d_0000002.jpg,0,0,17,0,15,0,12,9,0.006430971436202526,0.07733084452916969,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000021_00800_d_0000003.jpg,0,0,7,0,7,0,4,12,0.008653798140585423,0.10560822893972403,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_00000_d_0000004.jpg,0,0,41,0,35,0,27,15,0.028280876576900482,0.07014603758169935,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_00500_d_0000005.jpg,1,0,31,0,22,0,14,22,0.02720465138554573,0.10847590625756474,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_01036_d_0000006.jpg,1,0,15,0,4,0,3,13,0.030249087139964104,0.02123007443718228,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000022_01251_d_0000007.jpg,2,0,10,0,0,0,0,46,0.040548089891672134,0.04326613562091503,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00000_d_0000008.jpg,0,0,40,0,35,0,26,39,0.020922809839248657,0.05602557643427742,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00300_d_0000009.jpg,0,0,30,0,25,0,15,7,0.0023341255728155375,0.062327523602033405,lowlight,none,0.0
datasets\VisDrone-LL\LL2\images\val\0000023_00868_d_0000010.jpg,4,0,16,0,6,0,5,50,0.062203388661146164,0.039691108387799566,lowlight,none,0.0
